order_item_id,order_id,product_id,qty,unit_price,discount
1,1,28,3,3516.32,0.15
2,2,42,5,510.81,0.15
3,2,18,4,39362.22,0.2
4,2,40,3,523.0,0.05
5,2,52,1,13025.78,0.15
6,2,59,2,2255.51,0.2
7,3,32,3,17594.76,0.05
8,4,45,5,13960.75,0
9,4,57,2,5906.39,0.15
10,4,18,5,38838.22,0.15
11,4,36,6,1421.62,0.15
12,4,1,1,30864.34,0.05
13,5,24,4,14219.08,0.2
14,5,31,3,388.24,0.15
15,5,36,3,1305.52,0.05
16,5,34,1,31618.92,0.1
17,5,23,1,535.11,0.05
18,6,47,5,1428.8,0
19,6,38,2,454.54,0.1
20,6,49,2,602.53,0.2
21,7,19,4,12684.15,0
22,7,45,5,12178.15,0.15
23,7,9,4,3861.76,0
24,7,41,3,2789.72,0.15
25,7,56,1,32236.64,0.15
26,8,10,5,2028.0,0
27,8,52,2,12564.23,0.15
28,9,25,5,428.61,0.1
29,9,29,5,1521.87,0.2
30,9,59,6,1961.77,0.05
31,9,20,6,4918.24,0
32,9,56,2,28536.06,0.2
33,10,45,1,12036.17,0.1
34,10,39,6,1564.65,0
35,10,31,6,378.25,0.1
36,10,19,6,14103.93,0.05
37,11,59,2,1949.22,0.05
38,11,18,3,37573.22,0.2
39,12,45,5,12864.74,0.15
40,12,26,1,539.37,0.15
41,12,18,6,35458.26,0.1
42,13,37,2,1200.21,0.15
43,13,3,3,11728.24,0.2
44,13,49,4,646.54,0.15
45,14,21,2,850.37,0.15
46,14,43,3,1168.43,0.15
47,14,7,5,1249.48,0
48,15,56,6,32536.96,0.15
49,15,33,4,135.57,0.2
50,15,53,3,37164.19,0.15
51,15,1,6,33344.46,0
52,16,29,4,1365.78,0.2
53,16,57,2,5894.16,0.1
54,16,45,5,11451.21,0.15
55,17,42,2,482.72,0.1
56,18,31,2,390.92,0.2
57,18,16,5,561.59,0.05
58,18,30,1,30128.21,0.15
59,18,36,3,1485.34,0.2
60,19,38,4,478.77,0.1
61,19,43,3,1142.11,0.2
62,19,32,4,18680.59,0.1
63,19,56,2,33245.03,0.05
64,19,10,5,1807.16,0.15
65,20,25,6,427.86,0.15
66,20,43,1,1040.86,0.2
67,20,51,3,899.24,0.15
68,20,53,1,36426.78,0.15
69,21,31,3,387.12,0.15
70,22,41,4,2752.81,0
